state,yr,qtr,index_nsa,index_sa,date
AK,1991,1,100,100,1/1/1991
AK,1991,2,100.88,100.13,4/1/1991
AK,1991,3,102.12,101.34,7/1/1991
AK,1991,4,102.29,102.31,10/1/1991
AK,1992,1,102.8,102.75,1/1/1992
AK,1992,2,104.31,103.53,4/1/1992
AK,1992,3,105.11,104.3,7/1/1992
AK,1992,4,104.42,104.55,10/1/1992
AK,1993,1,104.83,104.67,1/1/1993
AK,1993,2,107.24,106.41,4/1/1993
AK,1993,3,108.4,107.59,7/1/1993
AK,1993,4,110.42,110.67,10/1/1993
AK,1994,1,111.33,111.05,1/1/1994
AK,1994,2,112.25,111.32,4/1/1994
AK,1994,3,112.57,111.79,7/1/1994
AK,1994,4,111.3,111.62,10/1/1994
AK,1995,1,114.58,114.25,1/1/1995
AK,1995,2,116.43,115.38,4/1/1995
AK,1995,3,117.72,116.97,7/1/1995
AK,1995,4,117.44,117.82,10/1/1995
AK,1996,1,120.81,120.5,1/1/1996
AK,1996,2,121.51,120.31,4/1/1996
AK,1996,3,120.6,119.82,7/1/1996
AK,1996,4,123.26,123.67,10/1/1996
AK,1997,1,122.54,122.38,1/1/1997
AK,1997,2,125.04,123.7,4/1/1997
AK,1997,3,125.39,124.48,7/1/1997
AK,1997,4,125.77,126.2,10/1/1997
AK,1998,1,126.25,126.31,1/1/1998
AK,1998,2,129.69,128.17,4/1/1998
AK,1998,3,130.18,129.13,7/1/1998
AK,1998,4,130.97,131.4,10/1/1998
AK,1999,1,132.05,132.37,1/1/1999
AK,1999,2,134.06,132.41,4/1/1999
AK,1999,3,135.05,133.78,7/1/1999
AK,1999,4,131.46,131.95,10/1/1999
AK,2000,1,132.68,133.14,1/1/2000
AK,2000,2,137.22,135.53,4/1/2000
AK,2000,3,138.4,136.96,7/1/2000
AK,2000,4,136.84,137.37,10/1/2000
AK,2001,1,140.15,140.7,1/1/2001
AK,2001,2,144.9,143.19,4/1/2001
AK,2001,3,146.96,145.3,7/1/2001
AK,2001,4,148.67,149.22,10/1/2001
AK,2002,1,149.01,149.58,1/1/2002
AK,2002,2,154.22,152.53,4/1/2002
AK,2002,3,158.15,156.34,7/1/2002
AK,2002,4,157.27,157.73,10/1/2002
AK,2003,1,160.37,161.04,1/1/2003
AK,2003,2,164.99,163.27,4/1/2003
AK,2003,3,167.59,165.62,7/1/2003
AK,2003,4,170.84,171.28,10/1/2003
AK,2004,1,174.71,175.53,1/1/2004
AK,2004,2,179.38,177.48,4/1/2004
AK,2004,3,185.65,183.49,7/1/2004
AK,2004,4,187.63,187.97,10/1/2004
AK,2005,1,191.39,192.58,1/1/2005
AK,2005,2,199.51,197.12,4/1/2005
AK,2005,3,206.29,203.99,7/1/2005
AK,2005,4,207.42,207.67,10/1/2005
AK,2006,1,211.29,212.91,1/1/2006
AK,2006,2,218.65,215.77,4/1/2006
AK,2006,3,220.38,218.04,7/1/2006
AK,2006,4,219.68,219.63,10/1/2006
AK,2007,1,221.04,223.29,1/1/2007
AK,2007,2,229.25,225.95,4/1/2007
AK,2007,3,226.42,223.97,7/1/2007
AK,2007,4,222.77,222.55,10/1/2007
AK,2008,1,216.69,219.24,1/1/2008
AK,2008,2,226.2,223.02,4/1/2008
AK,2008,3,223.44,220.74,7/1/2008
AK,2008,4,224.29,223.84,10/1/2008
AK,2009,1,222.63,225.76,1/1/2009
AK,2009,2,218.94,215.95,4/1/2009
AK,2009,3,217.71,214.62,7/1/2009
AK,2009,4,215.66,215.26,10/1/2009
AK,2010,1,210.83,213.97,1/1/2010
AK,2010,2,222.86,220.16,4/1/2010
AK,2010,3,225.17,221.47,7/1/2010
AK,2010,4,220.51,220.05,10/1/2010
AK,2011,1,221.83,225.5,1/1/2011
AK,2011,2,223.79,221.06,4/1/2011
AK,2011,3,228.4,224.43,7/1/2011
AK,2011,4,222.64,222.29,10/1/2011
AK,2012,1,215.19,218.72,1/1/2012
AK,2012,2,225.06,222.25,4/1/2012
AK,2012,3,230.24,226.45,7/1/2012
AK,2012,4,226.37,225.84,10/1/2012
AK,2013,1,225.1,228.9,1/1/2013
AK,2013,2,232.15,228.85,4/1/2013
AK,2013,3,231.4,228.16,7/1/2013
AK,2013,4,231.22,230.68,10/1/2013
AK,2014,1,226.46,229.84,1/1/2014
AK,2014,2,237.39,233.84,4/1/2014
AK,2014,3,237.62,234.96,7/1/2014
AK,2014,4,239.89,239.28,10/1/2014
AK,2015,1,237.54,240.66,1/1/2015
AK,2015,2,244.18,240.31,4/1/2015
AK,2015,3,243.2,240.99,7/1/2015
AK,2015,4,245.24,244.91,10/1/2015
AK,2016,1,242.79,245.26,1/1/2016
AK,2016,2,251.41,247.47,4/1/2016
AK,2016,3,248.91,246.84,7/1/2016
AK,2016,4,246.3,246.34,10/1/2016
AK,2017,1,247.36,249.44,1/1/2017
AK,2017,2,251.53,247.57,4/1/2017
AK,2017,3,254.81,252.61,7/1/2017
AK,2017,4,248.98,249.5,10/1/2017
AK,2018,1,252.94,254.7,1/1/2018
AK,2018,2,257.41,253.5,4/1/2018
AK,2018,3,255.52,253,7/1/2018
AK,2018,4,254.46,255.3,10/1/2018
AK,2019,1,257.24,259.03,1/1/2019
AK,2019,2,267.86,263.9,4/1/2019
AK,2019,3,266.86,263.78,7/1/2019
AK,2019,4,263.11,264.2,10/1/2019
AK,2020,1,265.56,267.55,1/1/2020
AK,2020,2,275.88,271.94,4/1/2020
AK,2020,3,276.37,272.8,7/1/2020
AK,2020,4,286.29,287.46,10/1/2020
AK,2021,1,287.96,290.41,1/1/2021
AK,2021,2,301.08,296.88,4/1/2021
AK,2021,3,314.13,309.77,7/1/2021
AK,2021,4,316.46,317.67,10/1/2021
